0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:37 +0800] "GET /WF_CAR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:38 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:49 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6784
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "GET /WF_CAR/core/menu.js?_=1558841991159 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "GET /WF_CAR/core/menu.js?_=1558841991160 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8298
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:51 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:52 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:52 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8426
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:52 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:53 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:54 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:54 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 9169
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:54 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:55 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:55 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 6665
0:0:0:0:0:0:0:1 - - [26/May/2019:11:39:56 +0800] "GET /WF_CAR/img/upload.png HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [26/May/2019:11:40:08 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6784
