127.0.0.1 - - [27/May/2019:08:31:10 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:13 +0800] "GET /WF_CAR HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:13 +0800] "GET /WF_CAR/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:14 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:16 +0800] "GET /WF_CAR/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:16 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:16 +0800] "GET /WF_CAR/img/logo.gif HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:23 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action?s=Mon%20May%2027%202019%2008:31:23%20GMT+0800%20(%E4%B8%AD%E5%9B%BD%E6%A0%87%E5%87%86%E6%97%B6%E9%97%B4) HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:27 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:29 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:29 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:29 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:29 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:29 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [27/May/2019:08:31:29 +0800] "GET /WF_CAR/core/menu.js?_=1558917089135 HTTP/1.1" 200 11669
