127.0.0.1 - - [03/Jun/2019:08:34:07 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:34:16 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:34:17 +0800] "GET /WF_CAR/loginAction_getCheckCodeImg.action HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:05 +0800] "POST /WF_CAR/loginAction_doLogin.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "GET /WF_CAR/main.jsp HTTP/1.1" 200 6789
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/redirectCustomPage.action?url=Customize%2FCustomJsList.json HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "GET /WF_CAR/style/img/main-bg.jpg HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "GET /WF_CAR/core/menu.js?_=1559522347479 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/loadInitFunction.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/loadRolesName.action HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/loadRolesMenu.action HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "GET /WF_CAR/core/menu.js?_=1559522347480 HTTP/1.1" 200 11669
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/getDefaultWinno.action HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:07 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8348
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 8599
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:08 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:11 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:11 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:11 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:15 +0800] "POST /WF_CAR/commonQuery_doQuery.action HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:15 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:15 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:15 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:15 +0800] "POST /WF_CAR/common_bindInputData.action HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:17 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [03/Jun/2019:08:39:17 +0800] "POST /WF_CAR/loadDefinition.action HTTP/1.1" 200 7048
