127.0.0.1 - - [04/Jul/2019:08:25:59 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:36 +0800] "GET /APP_TRIP_TJDX HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:36 +0800] "GET /APP_TRIP_TJDX/ HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:36 +0800] "GET /APP_TRIP_TJDX/dev/jquery/jquery-1.11.1.js HTTP/1.1" 200 283303
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:36 +0800] "GET /APP_TRIP_TJDX/dev/jquery/jquery-migrate-1.2.1.js HTTP/1.1" 200 16768
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:36 +0800] "GET /APP_TRIP_TJDX/quickaccess/mobilelogin.js HTTP/1.1" 200 2944
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:36 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "POST /APP_TRIP_TJDX/loginAction_doLoginReturnNameWithoutChk.action HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/framework-c.html HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/app-init/initparams.js?rev=adff27e3823f67118442996c290c86f8 HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/jquery/jquery-1.11.1.js?rev=c178fc9a0b7e72f290b5df2cda400836 HTTP/1.1" 200 96495
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/jquery/jquery-migrate-1.2.1.js?rev=bebb0704beb980a12709363e1667cc46 HTTP/1.1" 200 6943
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/core-framework-fw7-css/framework-c.css?rev=842e9c0de21616278ab7214b5f1c5fc1 HTTP/1.1" 200 39513
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/framework7-v1.6.4/js/framework7.min.js?rev=31f6cccf3dcd9e69bbfbc459eb5f924b HTTP/1.1" 200 324911
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/core/core-all.js?rev=b662be0219dc19a5119a507b3ae117b2 HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/jquery/jquery-all.js?rev=96d8da3c38f23b30e27674d6c4b5227d HTTP/1.1" 200 25516
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/core-framework-fw7/coreframework-all.js?rev=a12591548002fd70a5f356599fb661e6 HTTP/1.1" 200 293296
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/framework7-extend/framework7.extend.js?rev=4cf598a1677698f02665d52c15ff6c93 HTTP/1.1" 200 14663
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/dist/appstarter/commonstarter.js?rev=b947059efc881f5a7b1cd090f40404ea HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:39 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/localCSS.css?rev=e3c5fbcb904369a6a930db98c5409c68 HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:40 +0800] "GET /APP_TRIP_TJDX/dist/framework7-v1.6.4/css/framework7.ios.colors.min.css?rev=2923015e14c98325bd5c09d157a315df HTTP/1.1" 200 128523
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:40 +0800] "GET /APP_TRIP_TJDX/dist/framework7-v1.6.4/css/framework7.ios.css?rev=f9c55bff75c38da657c5c3702013d71f HTTP/1.1" 200 213541
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:40 +0800] "GET /APP_TRIP_TJDX/dist/core-framework-fw7/features/fw7feature-all.js?rev=c02b164b5883a25babb22d8ed7c5920a HTTP/1.1" 200 43868
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:40 +0800] "GET /APP_TRIP_TJDX/dev/cordova-android/cordova.js HTTP/1.1" 200 278748
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:40 +0800] "GET /APP_TRIP_TJDX/dev/framework7-extend/framework7.ios.extend.css?rev=c1dad721ace4598db7024d2ccfc9d1c6 HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:42 +0800] "GET /APP_TRIP_TJDX/dist/framework7-v1.6.4/js/framework7.min.js.map HTTP/1.1" 200 1236580
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "GET /APP_TRIP_TJDX/prjPages/appViewContent.html HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "POST /APP_TRIP_TJDX/m_verifyParamMD5.action HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/home_active.svg HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/order.svg HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/my.svg HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "GET /APP_TRIP_TJDX/prjPages/prjCss/reim.svg HTTP/1.1" 200 2649
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:43 +0800] "POST /APP_TRIP_TJDX/m_getWFIdenityFromMobile.action HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/m_userLoginFromMobile.action HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/getMobileUserContext.action HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadInitConstants.action HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadDefinition.action HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [04/Jul/2019:08:26:47 +0800] "POST /APP_TRIP_TJDX/loadRolesMenuForMobile.action HTTP/1.1" 200 316
